id,name,bug,killed,detected_by,caught_on,metrics_affected,error
M01,wilson_z_wrong,Confidence intervals use z = 1.645 instead of 1.96,True,"hand-computed, reconciliation","real data, golden data",shares,
M02,wilson_centre_dropped,The lower Wilson bound drops its centre adjustment and no longer matches the upper bound,True,"hand-computed, reconciliation","real data, golden data",shares,
M03,unclassified_geography_counted,Conversations with no usable country are counted as a place,True,"hand-computed, invariants, reconciliation","real data, golden data","geo_usage, request_mix, shares, vs_rest",
M04,min_sample_guard_removed,Tiny geographies enter the usage index,True,"hand-computed, reconciliation","real data, golden data",geo_usage,
M05,missing_population_kept,A country with no population stays in the peer set and inflates the pooled rate,True,"hand-computed, invariants, reconciliation","real data, golden data",geo_usage,
M06,per_capita_units_wrong,"Conversations per 100,000 residents is computed per million",True,"hand-computed, reconciliation","real data, golden data",geo_usage,
M07,index_interval_z_wrong,The usage-index interval uses z = 1.645,True,"hand-computed, reconciliation","real data, golden data",geo_usage,
M08,province_share_denominator_too_wide,"Provincial shares are divided by every subregion in the file, not the provinces",True,"hand-computed, reconciliation","real data, golden data",geo_usage,
M09,automation_is_only_directive,Automation share ignores the feedback-loop pattern,True,"hand-computed, reconciliation","real data, golden data","platform_gap, shares, vs_rest",
M10,collaboration_denominator_drops_validation,Validation conversations vanish from the denominator,True,"hand-computed, reconciliation","real data, golden data","platform_gap, shares, vs_rest",
M11,success_denominator_includes_unclassified,Unclassified success labels count as failures,True,"hand-computed, reconciliation","real data, golden data","platform_gap, shares, vs_rest",
M12,use_case_none_counted,The 'none' use-case bucket is counted in the denominator,True,"hand-computed, reconciliation","real data, golden data","platform_gap, shares, vs_rest",
M13,share_guard_removed,Shares are reported for geographies with almost no data,True,"hand-computed, reconciliation","real data, golden data","shares, vs_rest",
M14,rest_includes_geography,The 'rest of world' comparison group still contains the geography itself,True,"hand-computed, invariants, reconciliation","real data, golden data",vs_rest,
M15,province_compared_with_world,Provinces are compared with the whole world instead of the rest of Canada,True,"hand-computed, reconciliation","real data, golden data",vs_rest,
M16,difference_interval_one_sample,The interval for a difference ignores the variance of the comparison group,True,"hand-computed, reconciliation","real data, golden data",vs_rest,
M17,unclassified_category_in_mix,The 'not_classified' request bucket is treated as a use case,True,"hand-computed, reconciliation","real data, golden data",request_mix,
M18,lq_interval_ignores_rest,The location-quotient interval ignores sampling error in the comparison group,True,"hand-computed, reconciliation","real data, golden data",request_mix,
M19,category_guard_removed,Location quotients are reported for categories with a handful of conversations,True,"hand-computed, invariants, reconciliation","real data, golden data",request_mix,
M20,lq_rest_is_parent,"The comparison group for a category is the whole parent, not the parent minus the geography",True,"hand-computed, reconciliation","real data, golden data",request_mix,
M21,platform_gap_flipped,"The platform gap is Claude.ai minus API, the opposite of the label",True,"hand-computed, invariants, reconciliation","real data, golden data",platform_gap,
M22,platform_gap_interval_one_sample,The platform-gap interval uses only the Claude.ai variance,True,"hand-computed, reconciliation","real data, golden data",platform_gap,
M23,mean_exposure_of_exposed_only,Mean exposure is taken over occupations that have any exposure,True,"hand-computed, invariants, reconciliation","real data, golden data",function_exposure,
M24,median_is_mean,The median exposure is actually the mean,True,"hand-computed, reconciliation","real data, golden data",function_exposure,
M25,dense_rank_used,Ties in the exposure ranking do not leave a gap,True,"hand-computed, reconciliation",golden data,function_exposure,
M26,comparison_group_guard_removed,A comparison group of a handful of conversations is accepted,True,"hand-computed, reconciliation","real data, golden data",vs_rest,
