invariant,passed,detail
Shares are between 0 and 1,True,
Interval brackets the share (shares),True,
Numerator never exceeds denominator,True,
Usage index is positive and inside its interval,True,
Population-weighted mean usage index is 1 within each peer set,True,
Shares of known-geography usage add up to at most 1,True,
Rest-of-parent share is between 0 and 1,True,
A geography plus its rest-of-parent group reproduces the parent's own share,True,
Difference interval brackets the difference (vs rest),True,
Location quotients are positive and inside their intervals,True,
Every reported category meets the minimum count,True,
Category shares within a geography add up to at most 1,True,
Platform gap equals API share minus Claude.ai share and its interval brackets it,True,
Exposure statistics are consistent,True,
Occupation counts add up to the input table,True,
Exposure ranks start at 1,True,
No unclassified geography reaches a metric,True,
Every geography in the usage index has a population,True,
